group,n_features_removed,full_ll,ablated_ll,delta_ll,ci_lo,ci_hi,p_value,full_auc,ablated_auc,delta_auc
team_prior,2,0.6776934772455777,0.6793425252712614,0.0016490480256836637,0.00032188384498292035,0.0030045716198482918,0.0084,0.594814635451858,0.5890762079626364,-0.005738427489221598
projections,3,0.6776934772455777,0.6792267280344145,0.0015332507888368152,0.0007752764886078039,0.0022981214444394433,0.0,0.594814635451858,0.5896510750682832,-0.0051635603835747945
platoon,2,0.6776934772455777,0.6786751824473207,0.0009817052017430106,0.0002979362138939651,0.0016742283046509467,0.0012,0.594814635451858,0.5916377606495158,-0.003176874802342189
form,1,0.6776934772455777,0.6785137573986203,0.0008202801530425852,0.00021096825134979402,0.0014242184972473979,0.005,0.594814635451858,0.5922216911879334,-0.002592944263924535
trades,2,0.6776934772455777,0.6784614733963562,0.0007679961507784938,0.00012722084821783776,0.0014096500265542336,0.0078,0.594814635451858,0.5925624904217335,-0.002252145030124497
matchup_sparse,4,0.6776934772455777,0.6782050861608491,0.0005116089152713554,4.79773589559418e-05,0.000977617690868376,0.0148,0.594814635451858,0.5934110307122209,-0.0014036047396370765
base_hitting,3,0.6776934772455777,0.6781469604019057,0.00045348315632798286,-0.0003178263619596916,0.0012525512371136915,0.1278,0.594814635451858,0.5936772454471769,-0.0011373900046810492
bullpen,4,0.6776934772455777,0.6780993516858581,0.000405874440280396,-0.00026269793046493627,0.0010821272437707028,0.121,0.594814635451858,0.5939443098789553,-0.0008703255729026749
sp_quality,14,0.6776934772455777,0.6779902545379357,0.000296777292357997,-0.000744205992232666,0.0013438538538510245,0.2804,0.594814635451858,0.5937367950328045,-0.0010778404190534552
matchup_arsenal,4,0.6776934772455777,0.6777912407475775,9.776350199974804e-05,-0.00037316438067315494,0.0005660738434209305,0.3418,0.594814635451858,0.5942430963254318,-0.0005715391264261571
sp_trends,4,0.6776934772455777,0.6777858545623103,9.237731673261695e-05,-0.0006209674904499668,0.0008254572705537421,0.3808,0.594814635451858,0.5941673552948019,-0.0006472801570560627
defense,2,0.6776934772455777,0.67775672117582,6.324393024226271e-05,-0.0004650603100708056,0.0005844745322948591,0.3978,0.594814635451858,0.594449100599454,-0.0003655348524039814
weather,5,0.6776934772455777,0.6776984351267613,4.9578811835981895e-06,-0.0005274556553018173,0.0005252382410107641,0.4906,0.594814635451858,0.594582691822067,-0.00023194362979095384
