game_pk,game_date,home_team,away_team,home_win,inning,top_bottom,inning_half,home_score,away_score,game_progress,sim_home_wp,kalshi_home_prob,edge,abs_edge,timestamp
778272,2025-04-18,TB,NYY,0,1,Top,Top 1,0,0,0.0,0.678,0.515,0.16300000000000003,0.16300000000000003,1745017518.809
778272,2025-04-18,TB,NYY,0,1,Bot,Bot 1,0,0,0.05555555555555555,0.706,0.535,0.17099999999999993,0.17099999999999993,1745018021.709
778272,2025-04-18,TB,NYY,0,2,Top,Top 2,0,0,0.1111111111111111,0.65,0.44499999999999995,0.20500000000000007,0.20500000000000007,1745018731.439
778272,2025-04-18,TB,NYY,0,2,Bot,Bot 2,0,1,0.16666666666666666,0.598,0.39,0.20799999999999996,0.20799999999999996,1745019258.103
778272,2025-04-18,TB,NYY,0,3,Top,Top 3,0,1,0.2222222222222222,0.534,0.35,0.18400000000000005,0.18400000000000005,1745019728.822
778272,2025-04-18,TB,NYY,0,3,Bot,Bot 3,0,1,0.2777777777777778,0.59,0.39,0.19999999999999996,0.19999999999999996,1745020278.454
778272,2025-04-18,TB,NYY,0,4,Top,Top 4,0,1,0.3333333333333333,0.572,0.32999999999999996,0.242,0.242,1745020586.623
778272,2025-04-18,TB,NYY,0,4,Bot,Bot 4,0,1,0.3888888888888889,0.598,0.37,0.22799999999999998,0.22799999999999998,1745020969.527
778272,2025-04-18,TB,NYY,0,5,Top,Top 5,0,1,0.4444444444444444,0.468,0.30000000000000004,0.16799999999999998,0.16799999999999998,1745021403.804
778272,2025-04-18,TB,NYY,0,5,Bot,Bot 5,0,1,0.5,0.55,0.39,0.16000000000000003,0.16000000000000003,1745021807.943
778272,2025-04-18,TB,NYY,0,6,Top,Top 6,0,1,0.5555555555555556,0.49,0.28,0.20999999999999996,0.20999999999999996,1745022407.336
778272,2025-04-18,TB,NYY,0,6,Bot,Bot 6,0,1,0.6111111111111112,0.406,0.365,0.041000000000000036,0.041000000000000036,1745022921.007
778272,2025-04-18,TB,NYY,0,7,Top,Top 7,0,1,0.6666666666666666,0.316,0.23,0.086,0.086,1745023461.335
778272,2025-04-18,TB,NYY,0,7,Bot,Bot 7,0,1,0.7222222222222222,0.386,0.29500000000000004,0.09099999999999997,0.09099999999999997,1745023867.723
778272,2025-04-18,TB,NYY,0,8,Top,Top 8,0,1,0.7777777777777778,0.092,0.195,-0.10300000000000001,0.10300000000000001,1745024416.955
778272,2025-04-18,TB,NYY,0,8,Bot,Bot 8,0,1,0.8333333333333334,0.082,0.25,-0.16799999999999998,0.16799999999999998,1745025139.766
778272,2025-04-18,TB,NYY,0,9,Top,Top 9,0,1,0.8888888888888888,0.054,0.135,-0.08100000000000002,0.08100000000000002,1745025599.242
778272,2025-04-18,TB,NYY,0,9,Bot,Bot 9,0,1,0.9444444444444444,0.056,0.2,-0.14400000000000002,0.14400000000000002,1745026341.218
778247,2025-04-19,COL,WSH,0,1,Top,Top 1,0,0,0.0,0.476,0.44,0.035999999999999976,0.035999999999999976,1745093497.752
778247,2025-04-19,COL,WSH,0,1,Bot,Bot 1,0,0,0.05555555555555555,0.572,0.49,0.08199999999999996,0.08199999999999996,1745093850.522
778247,2025-04-19,COL,WSH,0,2,Top,Top 2,0,0,0.1111111111111111,0.57,0.43,0.13999999999999996,0.13999999999999996,1745094256.179
778247,2025-04-19,COL,WSH,0,2,Bot,Bot 2,0,2,0.16666666666666666,0.35,0.27,0.07999999999999996,0.07999999999999996,1745094823.883
