game_pk,game_date,home_team,away_team,home_win,sim_home_wp,kalshi_home_prob,edge,sim_total_runs,sim_home_runs,sim_away_runs,kalshi_volume
778297,2025-04-16,TOR,ATL,1,0.453,0.47,-0.01699999999999996,9.324,4.362,4.962,15124.0
778299,2025-04-16,MIN,NYM,1,0.497,0.5,-0.0030000000000000027,9.651,4.558,5.093,37244.0
778288,2025-04-16,SD,CHC,1,0.449,0.53,-0.08100000000000002,10.009,4.562,5.447,21632.0
778301,2025-04-16,BAL,CLE,1,0.482,0.54,-0.05800000000000005,8.343,4.067,4.276,5752.0
778293,2025-04-16,PIT,WSH,1,0.495,0.52,-0.025000000000000022,11.346,5.537,5.809,3443.0
778304,2025-04-16,CIN,SEA,0,0.315,0.48,-0.16499999999999998,8.197,3.159,5.038,4546.0
778303,2025-04-16,MIA,AZ,0,0.407,0.44,-0.03300000000000003,9.392,4.112,5.28,4337.0
778296,2025-04-16,PHI,SF,0,0.496,0.57,-0.07399999999999995,8.86,4.32,4.54,20346.0
778298,2025-04-16,TB,BOS,0,0.472,0.55,-0.07800000000000007,10.071,4.846,5.225,3920.0
778300,2025-04-16,NYY,KC,1,0.358,0.61,-0.252,9.343,3.906,5.437,4896.0
778294,2025-04-16,CWS,ATH,0,0.474,0.41,0.064,8.452,4.002,4.45,12279.0
778289,2025-04-16,TEX,LAA,1,0.425,0.46,-0.03500000000000003,8.883,3.949,4.934,13492.0
778287,2025-04-16,LAD,COL,1,0.45,0.74,-0.29,11.091000000000001,5.126,5.965,14293.0
778291,2025-04-17,MIA,AZ,0,0.532,0.43,0.10200000000000004,9.932,5.049,4.883,22910.0
778280,2025-04-17,PIT,WSH,1,0.433,0.59,-0.15699999999999997,8.901,3.943,4.958,11833.0
778285,2025-04-17,CIN,SEA,0,0.52,0.56,-0.040000000000000036,9.808,4.865,4.943,38931.0
778283,2025-04-17,CWS,ATH,0,0.466,0.47,-0.003999999999999948,10.510000000000002,4.9,5.61,11948.0
778279,2025-04-17,PHI,SF,1,0.504,0.67,-0.16600000000000004,8.175999999999998,4.039,4.137,35897.0
778292,2025-04-17,BAL,CLE,1,0.401,0.56,-0.15900000000000003,8.449,3.679,4.77,14809.0
778286,2025-04-17,DET,KC,1,0.439,0.6,-0.16099999999999998,9.221,4.091,5.13,12756.0
778282,2025-04-17,TB,NYY,0,0.482,0.48,0.0020000000000000018,8.946,4.192,4.754,57187.0
778278,2025-04-17,NYM,STL,1,0.398,0.58,-0.18199999999999994,10.079,4.325,5.754,14308.0
778281,2025-04-17,TEX,LAA,1,0.491,0.61,-0.119,8.571,4.144,4.427,36591.0
778268,2025-04-18,CHC,AZ,1,0.501,0.52,-0.019000000000000017,9.678,4.663,5.015,72602.0
778268,2025-04-18,CHC,AZ,1,0.501,0.46,0.04099999999999998,9.678,4.663,5.015,354.0
778277,2025-04-18,DET,KC,1,0.519,0.46,0.059,8.433,4.031,4.402,14197.0
778271,2025-04-18,PIT,CLE,0,0.531,0.47,0.061000000000000054,6.625,3.319,3.306,5447.0
778274,2025-04-18,PHI,MIA,1,0.414,0.68,-0.26600000000000007,7.378,3.173,4.205,14363.0
778276,2025-04-18,BAL,CIN,0,0.52,0.62,-0.09999999999999998,8.596,4.366,4.23,3155.0
778272,2025-04-18,TB,NYY,0,0.67,0.5,0.17000000000000004,7.8100000000000005,4.606,3.204,11655.0
778272,2025-04-18,TB,NYY,0,0.67,0.71,-0.039999999999999925,7.8100000000000005,4.606,3.204,77.0
778273,2025-04-18,TOR,SEA,1,0.436,0.53,-0.09400000000000003,7.746,3.512,4.234,11198.0
778270,2025-04-18,NYM,STL,1,0.536,0.45,0.08600000000000002,9.738,4.989,4.749,116.0
778270,2025-04-18,NYM,STL,1,0.536,0.68,-0.14400000000000002,9.738,4.989,4.749,9157.0
778275,2025-04-18,BOS,CWS,1,0.618,0.69,-0.07199999999999995,10.383,5.66,4.723,3534.0
778275,2025-04-18,BOS,CWS,1,0.618,0.17,0.44799999999999995,10.383,5.66,4.723,210.0
778284,2025-04-18,ATL,MIN,1,0.423,0.59,-0.16699999999999998,11.841,5.321,6.52,4559.0
