date,home,away,home_sp,away_sp,bet_side,dk_home,dk_away,dk_home_ml,dk_away_ml,poly_home,poly_away,lgb_home,lgb_away,kalshi_home,kalshi_away,edge,won,pnl,result
2025-07-04,MIA,MIL,Sandy Alcantara,Quinn Priester,home,0.461,0.539,107.0,-130.0,0.45,0.55,0.564,0.436,0.45,0.55,0.114,0,-0.45,away_win
2025-07-04,WSH,BOS,Michael Soroka,Lucas Giolito,home,0.49,0.51,-106.0,-115.0,0.49,0.51,0.601,0.399,0.5,0.5,0.101,0,-0.5,away_win
2025-07-05,TOR,LAA,Max Scherzer,Jack Kochanowicz,away,0.515,0.485,-122.0,-107.0,,,0.529,0.471,0.65,0.35,0.121,0,-0.35,home_win
2025-07-06,CLE,DET,Gavin Williams,Tarik Skubal,home,0.319,0.681,195.0,-264.0,0.33,0.67,0.441,0.559,0.34,0.66,0.101,0,-0.34,away_win
2025-07-06,WSH,BOS,Shinnosuke Ogasawara,Garrett Crochet,home,0.321,0.679,197.0,-246.0,0.33,0.67,0.426,0.574,0.32,0.68,0.106,0,-0.32,away_win
2025-07-06,NYM,NYY,Chris Devenski,Max Fried,home,0.407,0.593,131.0,-171.0,0.38,0.62,0.5,0.5,0.39,0.61,0.11,0,-0.39,away_win
2025-07-08,KC,PIT,Seth Lugo,Mitch Keller,away,0.552,0.448,-137.0,113.0,0.58,0.42,0.41,0.59,0.57,0.43,0.16,0,-0.43,home_win
2025-07-09,ATH,ATL,Mitch Spence,Bryce Elder,home,0.452,0.548,111.0,-135.0,,,0.601,0.399,0.46,0.54,0.141,0,-0.46,away_win
2025-07-09,CWS,TOR,Adrian Houser,Eric Lauer,home,0.438,0.562,118.0,-143.0,0.43,0.57,0.541,0.459,0.44,0.56,0.101,1,0.56,home_win
2025-07-09,BOS,COL,Lucas Giolito,Antonio Senzatela,away,0.757,0.243,-414.0,287.0,0.73,0.27,0.642,0.358,0.76,0.24,0.118,0,-0.24,home_win
2025-07-10,SD,AZ,Randy Vásquez,Eduardo Rodriguez,home,0.472,0.528,102.0,-124.0,,,0.599,0.401,0.47,0.53,0.129,1,0.53,home_win
2025-07-10,ATH,ATL,JP Sears,Spencer Strider,home,0.404,0.596,132.0,-174.0,,,0.521,0.479,0.36,0.64,0.161,1,0.64,home_win
2025-07-10,BAL,NYM,Charlie Morton,David Peterson,home,0.496,0.504,-112.0,-116.0,0.44,0.56,0.428,0.572,0.19,0.81,0.238,1,0.81,home_win
2025-07-11,LAA,AZ,Tyler Anderson,Ryne Nelson,away,0.509,0.491,-114.0,-106.0,0.5,0.5,0.36,0.64,0.51,0.49,0.15,0,-0.49,home_win
2025-07-11,ATH,TOR,Luis Severino,Max Scherzer,home,0.398,0.602,140.0,-171.0,,,0.54,0.46,0.39,0.61,0.15,0,-0.39,away_win
2025-07-11,SD,PHI,Ryan Bergert,Ranger Suarez,home,0.433,0.567,117.0,-152.0,0.43,0.57,0.519,0.481,0.41,0.59,0.109,1,0.59,home_win
2025-07-11,MIN,PIT,Joe Ryan,Paul Skenes,away,0.551,0.449,-142.0,109.0,0.55,0.45,0.452,0.548,0.57,0.43,0.118,0,-0.43,home_win
2025-07-11,BAL,MIA,Dean Kremer,Edward Cabrera,away,0.546,0.454,-139.0,107.0,0.56,0.44,0.428,0.572,0.57,0.43,0.142,0,-0.43,home_win
2025-07-11,HOU,TEX,Lance McCullers Jr.,Jack Leiter,away,0.526,0.474,-123.0,101.0,0.52,0.48,0.433,0.567,0.54,0.46,0.107,1,0.54,away_win
2025-07-13,BAL,MIA,Brandon Young,Eury Pérez,away,0.572,0.428,-150.0,123.0,0.56,0.44,0.449,0.551,0.56,0.44,0.111,1,0.56,away_win
2025-07-18,MIA,KC,Sandy Alcantara,Seth Lugo,home,0.49,0.51,-106.0,-115.0,0.49,0.51,0.601,0.399,0.49,0.51,0.111,1,0.51,home_win
2025-07-19,AZ,STL,Ryne Nelson,Sonny Gray,home,0.457,0.543,109.0,-132.0,0.47,0.53,0.599,0.401,0.46,0.54,0.139,1,0.54,home_win
2025-07-19,PHI,LAA,Taijuan Walker,Yusei Kikuchi,away,0.553,0.447,-138.0,113.0,0.54,0.46,0.405,0.595,0.54,0.46,0.135,0,-0.46,home_win
2025-07-20,CLE,ATH,Gavin Williams,Jeffrey Springs,home,0.49,0.51,-106.0,-115.0,,,0.591,0.409,0.49,0.51,0.101,1,0.51,home_win
2025-07-20,TB,BAL,Ryan Pepiot,Trevor Rogers,away,0.543,0.457,-132.0,109.0,0.52,0.48,0.429,0.571,0.54,0.46,0.111,1,0.54,away_win
2025-07-22,PIT,DET,Mitch Keller,Casey Mize,home,0.45,0.55,112.0,-136.0,0.44,0.56,0.614,0.386,0.46,0.54,0.154,1,0.54,home_win
